state,lat,lng
AL,32.7784,-86.9290
AZ,34.2740,-111.6582
AR,34.8938,-92.4429
CA,37.1992,-119.4505
CO,38.9979,-105.5495
CT,41.6220,-72.7272
DE,38.9895,-75.5051
FL,28.6282,-82.4426
GA,32.64405,-83.4418
ID,44.3538,-114.6086
IL,40.0411,-89.1965
IN,39.8938,-86.2818
IA,42.0753,-93.4959
KS,38.4949,-98.3801
KY,37.5360,-85.3021
LA,31.0689,-91.9952
ME,45.3702,-69.2438
MD,39.0550,-76.7909
MA,42.2596,-71.8083
MI,44.3461,-85.4114
MN,46.2810,-94.3046
MS,32.7351,-89.6680
MO,38.3568,-92.4571
MT,47.0527,-109.6450
NE,41.5392,-99.7968
NV,39.3306,-116.6268
NH,43.6805,-71.5818
NJ,40.1907,-74.6733
NM,34.4066,-106.1128
NY,42.9543,-75.5262
NC,35.5579,-79.3856
ND,47.4499,-100.4674
OH,40.2863,-82.7938
OK,35.5910,-97.4943
OR,43.9336,-120.5617
PA,40.8786,-77.7985
RI,41.6762,-71.5562
SC,33.9169,-80.8957
SD,44.4446,-100.2282
TN,35.8605,-86.3504
TX,31.4789,-99.3287
UT,39.3057,-111.6685
VT,44.0688,-72.6663
VA,37.5229,-78.8531
WA,47.3822,-120.4505
WV,38.6409,-80.6230
WI,44.6243,-89.9941
WY,42.9959,-107.5527
